transaction_id,user_id,date,merchant,amount,category_detail,category_primary,payment_method,payment_media,day_of_week,month,is_weekend,day,week,time_of_day,spending_level,log_amount,rolling_7d_spending,transaction_count,spike
TXN009803,USR039,2022-12-30 20:23:45,Smartfren,141000.0,utilities,Needs,Credit Card,Standard Chartered,Friday,12,False,30,52,Malam,medium,11.856522261533737,3752500.0,1,False
TXN003346,USR030,2022-12-31 02:51:10,inDrive,34000.0,transport,Needs,Debit,BRI,Saturday,12,True,31,52,Malam,low,10.434145214930487,1809000.0,1,False
TXN005186,USR036,2022-12-31 05:31:12,Hypermart,118500.0,groceries,Needs,QRIS,DANA,Saturday,12,True,31,52,Pagi,medium,11.682676678340282,1755000.0,1,False
TXN000744,USR062,2022-12-31 06:33:46,IndiHome,340000.0,utilities,Needs,Debit,CIMB Niaga,Saturday,12,True,31,52,Pagi,high,12.73670383776449,1975000.0,1,False
TXN007452,USR069,2022-12-31 07:16:01,Compass,1095000.0,shopping,Wants,Transfer,Jenius,Saturday,12,True,31,52,Pagi,high,13.90626583447433,3035500.0,1,False
TXN007637,USR071,2022-12-31 08:35:56,Biznet,107500.0,utilities,Needs,Debit,BRI,Saturday,12,True,31,52,Pagi,medium,11.58525542883217,2834500.0,1,False
TXN001680,USR030,2022-12-31 11:28:55,Subway,22500.0,food,Needs,Debit,BSI,Saturday,12,True,31,52,Pagi,low,10.021315031649332,1858500.0,1,False
TXN000603,USR060,2022-12-31 11:49:14,Compass,809500.0,shopping,Wants,QRIS,BCA,Saturday,12,True,31,52,Pagi,high,13.604173287429514,2527000.0,1,False
TXN005473,USR054,2023-01-01 03:54:27,Zalora,249500.0,shopping,Wants,Transfer,BCA,Sunday,1,True,1,52,Malam,high,12.427218202181711,2742500.0,1,False
TXN008686,USR042,2023-01-01 04:56:00,Erigo,321500.0,shopping,Wants,Credit Card,CIMB Niaga,Sunday,1,True,1,52,Malam,high,12.680755933074881,2945500.0,1,False
TXN001913,USR010,2023-01-01 05:03:17,Pull & Bear,892500.0,shopping,Wants,Debit,BCA,Sunday,1,True,1,52,Pagi,high,13.701782913083482,3498000.0,1,False
TXN002309,USR049,2023-01-01 07:09:37,Bibit,835500.0,investment,Investment,QRIS,BCA,Sunday,1,True,1,52,Pagi,high,13.63578682390496,3238500.0,1,False
TXN004482,USR068,2023-01-01 09:01:08,Bath & Body Works,372500.0,self_care,Wants,QRIS,ShopeePay,Sunday,1,True,1,52,Pagi,high,12.827995001361906,3503500.0,1,False
TXN004715,USR057,2023-01-01 09:42:07,Dufan,73500.0,entertainment,Wants,Debit,Mandiri,Sunday,1,True,1,52,Pagi,medium,11.205054290550551,3554500.0,1,False
TXN003678,USR049,2023-01-01 10:10:32,LRT Jakarta,44500.0,transport,Needs,Debit,BNI,Sunday,1,True,1,52,Pagi,low,10.703266939811954,2789500.0,1,False
TXN000710,USR050,2023-01-01 12:11:53,Lotte Mart,182000.0,groceries,Needs,Debit,CIMB Niaga,Sunday,1,True,1,52,Siang,medium,12.111767460549332,2722000.0,1,False
TXN000548,USR010,2023-01-01 13:09:08,Superindo,109000.0,groceries,Needs,Debit,Jenius,Sunday,1,True,1,52,Siang,medium,11.599112335481124,2509500.0,1,False
TXN000559,USR020,2023-01-01 16:30:07,KAI Kereta Api,325000.0,travel,Wants,Debit,Mandiri,Sunday,1,True,1,52,Siang,high,12.691583538230217,1942000.0,1,False
TXN002554,USR012,2023-01-01 16:32:13,Apotek K24,281500.0,health,Needs,Transfer,CIMB Niaga,Sunday,1,True,1,52,Siang,high,12.547891278953442,1388000.0,1,False
TXN004348,USR047,2023-01-01 17:35:46,Alodokter,463000.0,health,Needs,QRIS,Gopay,Sunday,1,True,1,52,Sore,high,13.045484492893253,1478500.0,1,False
TXN005331,USR031,2023-01-01 22:57:36,KFC,8000.0,food,Needs,Transfer,CIMB Niaga,Sunday,1,True,1,52,Malam,low,8.987321812850125,1413000.0,1,False
TXN001791,USR019,2023-01-01 23:41:43,Skill Academy,298500.0,education,Wants,QRIS,Mandiri,Sunday,1,True,1,52,Malam,high,12.606528561892935,1667000.0,1,False
TXN004464,USR057,2023-01-02 02:26:29,Klinik Pratama,256000.0,health,Needs,Debit,BNI,Monday,1,False,2,1,Malam,high,12.45293662970407,1741000.0,2,False
TXN006561,USR057,2023-01-02 02:26:29,Klinik Pratama,256000.0,health,Needs,Debit,BNI,Monday,1,False,2,1,Malam,high,12.45293662970407,1888000.0,2,False
TXN000933,USR004,2023-01-02 03:23:20,Compass,359000.0,shopping,Wants,Transfer,Mandiri,Monday,1,False,2,1,Malam,high,12.791080452981857,1922000.0,1,False
TXN000586,USR008,2023-01-02 03:47:46,Cinepolis,12500.0,entertainment,Wants,QRIS,ShopeePay,Monday,1,False,2,1,Malam,low,9.433563920090563,1653000.0,1,False
TXN005638,USR054,2023-01-02 04:47:17,Mobile Legends,22000.0,entertainment,Wants,Debit,CIMB Niaga,Monday,1,False,2,1,Malam,low,9.99884318585288,1212000.0,1,False
TXN008998,USR069,2023-01-02 05:49:16,Vivo Gas Station,75000.0,transport,Needs,QRIS,BNI,Monday,1,False,2,1,Pagi,medium,11.225256725762893,1279000.0,1,False
TXN008120,USR008,2023-01-02 05:57:36,Canva Pro,333000.0,education,Wants,Credit Card,BNI,Monday,1,False,2,1,Pagi,high,12.715900771961074,1313500.0,1,False
TXN010011,USR045,2023-01-02 06:03:28,Valorant,165500.0,entertainment,Wants,QRIS,BNI,Monday,1,False,2,1,Pagi,medium,12.016732516077072,1223000.0,1,False
TXN007923,USR006,2023-01-02 06:20:25,Uniqlo,71000.0,shopping,Wants,Debit,BRI,Monday,1,False,2,1,Pagi,medium,11.170449240431308,1038000.0,1,False
TXN002166,USR041,2023-01-02 07:03:17,Dicoding,231500.0,education,Wants,QRIS,ShopeePay,Monday,1,False,2,1,Pagi,high,12.352339472153524,910500.0,1,False
TXN001722,USR073,2023-01-02 07:36:00,Indodax,1337000.0,investment,Investment,Transfer,CIMB Niaga,Monday,1,False,2,1,Pagi,high,14.105939604026958,2235000.0,1,True
TXN007795,USR011,2023-01-02 09:29:00,Klinik Pratama,213000.0,health,Needs,QRIS,OVO,Monday,1,False,2,1,Pagi,high,12.269052139516223,2426000.0,1,False
TXN009463,USR052,2023-01-02 10:16:20,Garuda Indonesia,1805000.0,travel,Wants,Credit Card,Citibank,Monday,1,False,2,1,Pagi,high,14.406071703765585,4156000.0,1,True
TXN008126,USR064,2023-01-02 16:48:26,Janji Jiwa,91000.0,food,Needs,QRIS,OVO,Monday,1,False,2,1,Siang,medium,11.418625774449598,3914000.0,1,False
TXN005502,USR023,2023-01-02 17:41:00,IndiHome,209500.0,utilities,Needs,Cash,Cash,Monday,1,False,2,1,Sore,high,12.252483791602627,3958000.0,1,False
TXN007597,USR019,2023-01-02 19:06:24,Dufan,185500.0,entertainment,Wants,QRIS,BCA,Monday,1,False,2,1,Sore,medium,12.130815551850676,4072500.0,1,False
TXN008358,USR055,2023-01-02 19:45:43,Tabungan BRI,174500.0,investment,Investment,QRIS,Mandiri,Monday,1,False,2,1,Sore,medium,12.069685751267224,4015500.0,1,False
TXN008038,USR061,2023-01-02 21:56:22,RedDoorz,662500.0,travel,Wants,Debit,BCA,Monday,1,False,2,1,Malam,high,13.403777346275337,3341000.0,1,False
TXN000133,USR040,2023-01-02 22:16:45,MyXL,71500.0,utilities,Needs,Cash,Cash,Monday,1,False,2,1,Malam,medium,11.177466714598282,3199500.0,1,False
TXN006912,USR054,2023-01-02 22:56:46,Coursera,463500.0,education,Wants,Transfer,OVO,Monday,1,False,2,1,Malam,high,13.046563821483023,1858000.0,1,False
TXN003518,USR058,2023-01-03 01:05:42,Koi Bubble Tea,45500.0,food,Needs,Debit,Jenius,Tuesday,1,False,3,1,Malam,low,10.725489582719506,1812500.0,1,False
TXN009986,USR029,2023-01-03 02:26:50,Tiket.com,2486000.0,travel,Wants,Transfer,Jenius,Tuesday,1,False,3,1,Malam,high,14.726185953305327,4089000.0,1,True
TXN001087,USR015,2023-01-03 03:08:00,PlayStation Store,110000.0,entertainment,Wants,Transfer,OVO,Tuesday,1,False,3,1,Malam,medium,11.608244735642321,4013500.0,1,False
TXN010049,USR062,2023-01-03 04:31:55,SPA Reflexology,412000.0,self_care,Wants,QRIS,BCA,Tuesday,1,False,3,1,Malam,high,12.928781055513184,4251000.0,1,False
TXN002049,USR037,2023-01-03 05:59:46,BPJS Kesehatan,272000.0,utilities,Needs,QRIS,OVO,Tuesday,1,False,3,1,Pagi,high,12.513561021741964,3860500.0,1,False
TXN008000,USR004,2023-01-03 08:51:00,MyXL,446500.0,self_care,Wants,Debit,BSI,Tuesday,1,False,3,1,Pagi,high,13.00919691893784,4235500.0,1,False
TXN006040,USR048,2023-01-03 09:52:00,Watson,355000.0,health,Needs,QRIS,OVO,Tuesday,1,False,3,1,Pagi,high,12.779875885354993,4127000.0,1,False
TXN009358,USR035,2023-01-03 22:16:53,PLN Mobile,83500.0,utilities,Needs,Transfer,ShopeePay,Tuesday,1,False,3,1,Malam,medium,11.332613886815139,4165000.0,1,False
TXN004624,USR072,2023-01-03 22:55:30,Netflix,68000.0,entertainment,Wants,Transfer,CIMB Niaga,Tuesday,1,False,3,1,Malam,medium,11.127277689932466,1747000.0,1,False
TXN003786,USR051,2023-01-04 00:00:39,Garuda Indonesia,123000.0,travel,Wants,Debit,BTN,Wednesday,1,False,4,1,Malam,medium,11.719947764402807,1760000.0,1,False
TXN003326,USR016,2023-01-04 01:17:54,Ajaib,1595500.0,investment,Investment,Transfer,LinkAja,Wednesday,1,False,4,1,Malam,high,14.28269835146301,2943500.0,1,True
TXN005706,USR037,2023-01-04 02:25:00,Celebrity Fitness,414000.0,health,Needs,Transfer,ShopeePay,Wednesday,1,False,4,1,Malam,high,12.933623668263472,3085500.0,1,False
TXN004653,USR001,2023-01-04 07:28:49,Tokocrypto,1835000.0,investment,Investment,Credit Card,BNI,Wednesday,1,False,4,1,Pagi,high,14.422555584429787,4474000.0,1,True
TXN004046,USR006,2023-01-04 08:17:54,Halodoc,163500.0,health,Needs,Transfer,CIMB Niaga,Wednesday,1,False,4,1,Pagi,medium,12.004574385508691,4282500.0,1,False
TXN003261,USR066,2023-01-04 08:27:04,Blue Bird,57000.0,transport,Needs,QRIS,Mandiri,Wednesday,1,False,4,1,Pagi,medium,10.950824090522445,4256000.0,1,False
TXN003952,USR015,2023-01-04 08:55:40,Fore Coffee,109500.0,food,Needs,Cash,Cash,Wednesday,1,False,4,1,Pagi,medium,11.603688960617083,4297500.0,1,False
TXN000170,USR049,2023-01-04 12:48:18,Ruangguru,404000.0,education,Wants,Transfer,Jenius,Wednesday,1,False,4,1,Siang,high,12.90917263218775,4578500.0,1,False
TXN009805,USR064,2023-01-04 13:17:09,Transjakarta,48500.0,transport,Needs,QRIS,BCA,Wednesday,1,False,4,1,Siang,low,10.789339695269716,3031500.0,1,False
TXN002657,USR050,2023-01-04 15:34:11,inDrive,27500.0,transport,Needs,Transfer,BNI,Wednesday,1,False,4,1,Siang,low,10.221977646629885,2645000.0,1,False
TXN002685,USR010,2023-01-04 18:52:26,Es Teh Indonesia,98000.0,food,Needs,QRIS,BRI,Wednesday,1,False,4,1,Sore,medium,11.49273296168228,908000.0,1,False
TXN009267,USR069,2023-01-04 20:34:59,Indodax,1895500.0,investment,Investment,QRIS,LinkAja,Wednesday,1,False,4,1,Malam,high,14.454993741503674,2640000.0,1,True
TXN001267,USR021,2023-01-04 20:47:01,Pepper Lunch,113500.0,food,Needs,Cash,Cash,Wednesday,1,False,4,1,Malam,medium,11.63956692643747,2696500.0,1,False
TXN002034,USR011,2023-01-04 22:29:09,Microsoft 365,437500.0,education,Wants,Credit Card,Citibank,Wednesday,1,False,4,1,Malam,high,12.98883427049148,3024500.0,1,False
TXN004365,USR027,2023-01-04 23:23:32,Giant,264000.0,groceries,Needs,QRIS,ShopeePay,Wednesday,1,False,4,1,Malam,high,12.483708170000067,2884500.0,1,False
TXN000169,USR070,2023-01-05 00:13:17,MyXL,235500.0,utilities,Needs,QRIS,Gopay,Thursday,1,False,5,1,Malam,high,12.369470438714096,3071500.0,1,False
TXN009938,USR028,2023-01-05 00:59:42,Apotek K24,42500.0,health,Needs,Transfer,Mandiri,Thursday,1,False,5,1,Malam,low,10.657282884047461,3086500.0,1,False
TXN009295,USR025,2023-01-05 03:46:46,Mixue,111000.0,food,Needs,QRIS,ShopeePay,Thursday,1,False,5,1,Malam,medium,11.6172944892629,3099500.0,1,False
TXN008427,USR014,2023-01-05 05:04:22,Bareksa,176500.0,investment,Investment,QRIS,LinkAja,Thursday,1,False,5,1,Pagi,medium,12.081081821061819,1380500.0,1,False
TXN002407,USR023,2023-01-05 06:16:12,Airbnb,1531000.0,travel,Wants,Debit,Mandiri,Thursday,1,False,5,1,Pagi,high,14.241432327807471,2798000.0,1,True
TXN009136,USR062,2023-01-05 06:25:49,Ajaib,1032500.0,investment,Investment,QRIS,BNI,Thursday,1,False,5,1,Pagi,high,13.847494572339858,3393000.0,1,False
TXN007125,USR071,2023-01-05 08:05:44,Parkir Mall,65000.0,transport,Needs,Debit,CIMB Niaga,Thursday,1,False,5,1,Pagi,medium,11.082157933374816,3194000.0,1,False
TXN005694,USR068,2023-01-05 10:11:18,Ruangguru,316000.0,education,Wants,Credit Card,Standard Chartered,Thursday,1,False,5,1,Pagi,high,12.663500657121004,3274500.0,1,False
TXN004045,USR059,2023-01-05 10:52:21,H&M,1120500.0,shopping,Wants,Credit Card,Mandiri,Thursday,1,False,5,1,Pagi,high,13.929286464681445,4352500.0,1,True
TXN006106,USR057,2023-01-05 11:10:05,inDrive,42000.0,transport,Needs,QRIS,Mandiri,Thursday,1,False,5,1,Pagi,low,10.645448706505872,4283500.0,1,False
TXN000447,USR015,2023-01-05 19:49:24,Emina Cosmetics,389500.0,self_care,Wants,Credit Card,BNI,Thursday,1,False,5,1,Sore,high,12.87262171168374,4496500.0,1,False
TXN008824,USR055,2023-01-05 20:50:45,Pluang,229500.0,investment,Investment,QRIS,Gopay,Thursday,1,False,5,1,Malam,high,12.343662665771719,3195000.0,1,False
TXN009002,USR008,2023-01-05 22:50:17,Somethinc,495500.0,self_care,Wants,Transfer,BSI,Thursday,1,False,5,1,Malam,high,13.113324650913615,2658000.0,1,False
TXN006210,USR010,2023-01-05 23:14:57,Kimia Farma,260500.0,health,Needs,Cash,Cash,Thursday,1,False,5,1,Malam,high,12.470361978939783,2853500.0,1,False
TXN002751,USR072,2023-01-06 01:08:44,RedDoorz,1988500.0,travel,Wants,Cash,Cash,Friday,1,False,6,1,Malam,high,14.502891646521382,4526000.0,1,True
TXN006371,USR039,2023-01-06 01:39:35,McDonalds,43500.0,food,Needs,Debit,CIMB Niaga,Friday,1,False,6,1,Malam,low,10.680539205318292,3449000.0,1,False
TXN005887,USR037,2023-01-06 03:05:44,Notion Pro,424000.0,education,Wants,QRIS,LinkAja,Friday,1,False,6,1,Malam,high,12.95749109270188,3831000.0,1,False
TXN004217,USR007,2023-01-06 03:53:24,iCloud Storage,222500.0,utilities,Needs,Cash,Cash,Friday,1,False,6,1,Malam,high,12.312686874960354,3664000.0,1,False
TXN006444,USR043,2023-01-06 04:27:20,Barbershop,197000.0,self_care,Wants,Cash,Cash,Friday,1,False,6,1,Malam,medium,12.190964083849375,3631500.0,1,False
TXN004094,USR062,2023-01-06 06:43:59,Subway,92000.0,food,Needs,Transfer,ShopeePay,Friday,1,False,6,1,Pagi,medium,11.429554725537322,3228000.0,1,False
TXN009090,USR064,2023-01-06 06:59:38,Mumuso,769000.0,shopping,Wants,Debit,Mandiri,Friday,1,False,6,1,Pagi,high,13.552847548877052,3736500.0,1,False
TXN002175,USR035,2023-01-06 07:18:02,Total Parco,8000.0,transport,Needs,Debit,BNI,Friday,1,False,6,1,Pagi,low,8.987321812850125,1756000.0,1,False
TXN002145,USR061,2023-01-06 16:49:01,Ranch Market,206500.0,groceries,Needs,QRIS,Mandiri,Friday,1,False,6,1,Siang,high,12.238060533986511,1919000.0,1,False
TXN006623,USR056,2023-01-06 16:55:22,Mobile Legends,65500.0,entertainment,Wants,Debit,Mandiri,Friday,1,False,6,1,Siang,medium,11.089820688682373,1560500.0,1,False
TXN007257,USR050,2023-01-06 17:24:56,Hypermart,94000.0,groceries,Needs,QRIS,BNI,Friday,1,False,6,1,Sore,medium,11.451060699493427,1432000.0,1,False
TXN000055,USR024,2023-01-06 18:29:39,Dicoding,82000.0,education,Wants,Credit Card,CIMB Niaga,Friday,1,False,6,1,Sore,medium,11.314486721293981,1317000.0,1,False
TXN003391,USR051,2023-01-06 18:39:09,Indodax,1378500.0,investment,Investment,Debit,BTN,Friday,1,False,6,1,Sore,high,14.136507234871914,2603500.0,1,True
TXN003070,USR066,2023-01-06 21:04:38,LRT Jakarta,8500.0,transport,Needs,Transfer,ShopeePay,Friday,1,False,6,1,Malam,low,9.04793908261736,1843000.0,1,False
TXN003024,USR075,2023-01-06 21:12:52,Garuda Indonesia,1994000.0,travel,Wants,Transfer,OVO,Friday,1,False,6,1,Malam,high,14.505653731008309,3829000.0,1,True
TXN004014,USR033,2023-01-06 21:40:00,Zenius,268000.0,education,Wants,Transfer,BCA,Friday,1,False,6,1,Malam,high,12.498745990829315,3890500.0,1,False
TXN000146,USR072,2023-01-06 21:59:26,KAI Kereta Api,1497000.0,travel,Wants,Credit Card,Standard Chartered,Friday,1,False,6,1,Malam,high,14.218974331404214,5322000.0,1,True
TXN000378,USR017,2023-01-06 23:23:39,McDonalds,8500.0,food,Needs,Credit Card,BRI,Friday,1,False,6,1,Malam,low,9.04793908261736,5236500.0,1,False
TXN007786,USR055,2023-01-06 23:34:30,Miniso,91000.0,shopping,Wants,Credit Card,Standard Chartered,Friday,1,False,6,1,Malam,medium,11.418625774449598,5245500.0,1,False
TXN005589,USR034,2023-01-07 01:53:26,Udemy,222000.0,education,Wants,QRIS,Mandiri,Saturday,1,True,7,1,Malam,high,12.310437165348775,4089000.0,1,False
TXN000908,USR060,2023-01-07 03:15:33,Booking.com,2410500.0,travel,Wants,Debit,Jenius,Saturday,1,True,7,1,Malam,high,14.695345167679418,6491000.0,1,True
TXN000069,USR016,2023-01-07 06:31:09,Kimia Farma,83000.0,health,Needs,Credit Card,BCA,Saturday,1,True,7,1,Pagi,medium,11.326607934898927,4580000.0,1,False
TXN004358,USR040,2023-01-07 06:46:02,RS Siloam,382000.0,health,Needs,Transfer,DANA,Saturday,1,True,7,1,Pagi,high,12.853178505386333,4694000.0,1,False
TXN008590,USR039,2023-01-07 10:46:50,Google One Storage,425000.0,education,Wants,Credit Card,Citibank,Saturday,1,True,7,1,Pagi,high,12.959846800844963,3622000.0,1,False
TXN000702,USR069,2023-01-07 15:36:13,Tabungan BRI,301000.0,investment,Investment,Credit Card,Mandiri,Saturday,1,True,7,1,Siang,high,12.614868865984631,3914500.0,1,False
